t,x,sigma
2929.6500347222245,2.5100234271573996e-07,8.170856168276633e-08
2936.6500347222245,2.1177274848668699e-07,8.079700648557201e-08
2943.6500347222245,2.535548802112813e-07,8.874344489360655e-08
2950.6500347222245,2.63534216404213e-07,7.224561108588245e-08
2957.6500347222245,2.2694632279802823e-07,7.850987397601698e-08
2964.6500347222245,6.326032240696762e-08,7.751687569077344e-08
2971.6500347222245,1.55467105808213e-07,7.35201866603645e-08
2978.6500347222245,4.338227888050062e-08,3.071068418744928e-08
2985.6500347222245,1.804939730376348e-07,6.610261180920387e-08
2992.6500347222245,7.61970550997471e-08,4.769287631767375e-08
2999.6500347222245,1.341032166954806e-07,4.9729721047833204e-08
3006.6500347222245,1.754831870586633e-07,5.7194798533005936e-08
3013.6500347222245,2.4454143458434824e-07,7.583999186507633e-08
3020.6500347222245,1.0250086525295359e-07,6.205923409412091e-08
3027.6500347222245,1.5143314591112433e-07,5.7053011544725414e-08
3034.6500347222245,9.852488802247513e-08,6.129698817355902e-08
3041.6500347222245,1.5558256343795185e-07,7.743340257735567e-08
3048.6500347222245,9.470603318431212e-08,5.980868320935587e-08
3055.6500347222245,5.383219101901213e-08,4.9205295889503676e-08
3062.6500347222245,2.7364775055741595e-08,3.3628269800861934e-08
3069.6500347222245,7.451739633482613e-08,5.09546468517435e-08
3076.6500347222245,3.048809257034816e-08,4.737540027246973e-08
3083.6500347222245,1.6707665283117047e-07,5.676555281449063e-08
3090.6500347222245,1.1060817216505649e-07,6.459023310733755e-08
3097.6500347222245,4.161403913769587e-08,5.327523766685951e-08
3104.6500347222245,1.2215454398190027e-07,5.284658860001312e-08
3111.6500347222245,4.9050293025224255e-11,4.362515881078242e-09
3118.6500347222245,1.4015386645031735e-11,2.080074705281359e-09
3125.6500347222245,3.564485672702657e-08,2.662510186951069e-08
3132.6500347222245,5.5000575734981577e-08,4.622028688432857e-08
3139.6500347222245,1.8034974348269802e-11,2.094904634500561e-09
3146.6500347222245,5.623423026449033e-08,5.048720590195149e-08
3153.6500347222245,1.3601037152040832e-07,6.7520919611183e-08
3160.6500347222245,3.053305742193499e-08,3.7804396874162055e-08
3167.6500347222245,1.1089190927480026e-08,3.124505086146598e-08
3174.6500347222245,3.1302416300550595e-08,4.06435909806361e-08
3181.6500347222245,1.7297673247832535e-08,4.671051563107654e-08
3188.6500347222245,1.0070482781531313e-07,3.336054735829767e-08
3195.6500347222245,1.1198193816764512e-08,2.328300649652804e-08
3202.6500347222245,1.1545513996134294e-08,3.9599944001732784e-08
3209.6500347222245,1.8827436325504136e-07,6.511842227350659e-08
3216.6500347222245,4.4702173836285506e-08,1.8733734777745777e-08
3223.6500347222245,1.3577354396821723e-07,6.646465176525657e-08
3230.6500347222245,1.0110819997954888e-07,3.8761779415078397e-08
3237.6500347222245,8.11390031929178e-08,1.1214070193220707e-07
3244.6500347222245,1.4028315912028075e-07,7.00691336726551e-08
3251.6500347222245,2.1718458282467156e-07,6.799136176269658e-08
3258.6500347222245,2.3907484252009313e-07,8.01354385217351e-08
3265.6500347222245,4.968245422291438e-07,7.362627976275741e-08
3272.6500347222245,3.4930160326843287e-07,7.338671126837056e-08
3279.6500347222245,2.151589956021088e-07,7.044726518479129e-08
3286.6500347222245,1.0214181716183912e-08,7.037910720910887e-09
3293.6500347222245,3.974978088276038e-07,7.065019489784782e-08
3300.6500347222245,3.8210122679045455e-07,7.978634799461953e-08
3307.6500347222245,3.915580249816742e-07,9.283178816023876e-08
3314.6500347222245,3.121047638383513e-07,8.64043596776553e-08
3321.6500347222245,2.904341763131919e-07,6.902333548162384e-08
3328.6500347222245,2.8562973015103886e-07,7.35393319346697e-08
3335.6500347222245,5.60333735763007e-07,8.608610012862734e-08
3342.6500347222245,3.934420103907603e-07,8.209105705669682e-08
3349.6500347222245,3.489676321887079e-07,7.414973062191533e-08
3356.6500347222245,3.998712648507331e-07,8.676880466967153e-08
3363.6500347222245,3.1004864069902806e-07,8.21384168699284e-08
3370.6500347222245,4.231433125332963e-07,6.850419046130125e-08
3377.6500347222245,8.107184191296688e-07,8.04565593676206e-08
3384.6500347222245,4.0932006676901813e-07,8.274114724613203e-08
3391.6500347222245,5.117985300062927e-08,9.706746025083681e-08
3398.6500347222245,6.491552002366386e-07,1.0370260632449738e-07
3405.6500347222245,7.023528595580683e-07,9.399568388565116e-08
3412.6500347222245,2.1488328382149445e-07,7.095508649782117e-08
3419.6500347222245,1.9975820572359977e-07,6.321726975759917e-08
3426.6500347222245,2.5135635705607947e-07,5.590054103799724e-08
3433.6500347222245,3.327960035857085e-07,6.990245836546406e-08
3440.6500347222245,5.5505672427578806e-08,5.908051555469293e-08
3447.6500347222245,3.443924893804397e-08,1.343873636222317e-08
3454.6500347222245,3.9384821459707133e-07,8.16361365173705e-08
3461.6500347222245,5.184365313275061e-07,1.0065692287951139e-07
3468.6500347222245,1.490207702423238e-07,1.0301801717271694e-07
3475.6500347222245,2.0622396618314829e-07,6.534356893375215e-08
3482.6500347222245,3.562402148490675e-07,7.134204963714916e-08
3489.6500347222245,2.967258231384455e-07,7.6664478459644e-08
3496.6500347222245,8.274813802917733e-08,4.076242615038798e-08
3503.6500347222245,3.854443688867186e-07,7.896384395464077e-08
3510.6500347222245,3.129136120022797e-08,1.4990493032962038e-08
3517.6500347222245,3.730492929138109e-08,2.0355408253101042e-08
3524.6500347222245,5.16147460828782e-08,3.132585112982875e-08
3531.6500347222245,7.79915123969591e-08,5.2494941828621004e-08
3538.6500347222245,1.1254252998416516e-07,6.139548790994999e-08
3545.6500347222245,3.3230723207878185e-07,8.842909026191618e-08
3552.6500347222245,2.100570019322e-07,7.896773757112654e-08
3559.6500347222245,1.734171743394116e-07,7.385573343703853e-08
3566.6500347222245,4.2929869709232673e-08,5.4967350093959774e-08
3573.6500347222245,2.536969154267622e-08,5.375899016155307e-08
3580.6500347222245,1.3395651382779044e-07,5.109829603951213e-08
3587.6500347222245,1.69997922951108e-07,7.025023515892109e-08
3594.6500347222245,2.428682712645334e-07,7.25542361390248e-08
3601.6500347222245,1.3454570133028392e-07,6.139461671360726e-08
3608.6500347222245,1.0552019706061264e-07,6.381407031883738e-08
3615.6500347222245,2.85407415806364e-07,8.116498432272845e-08
3622.6500347222245,2.822483022986565e-07,8.481978664515387e-08
3629.6500347222245,5.5581247511890064e-08,5.098254225536648e-08
3636.6500347222245,8.82101443436572e-08,5.0185981254100495e-08
3643.6500347222245,7.060577529951685e-08,4.858139857817435e-08
3650.6500347222245,1.254609113638409e-07,6.538148062067402e-08
3657.6500347222245,3.5375480084875327e-07,7.967706544047069e-08
3664.6500347222245,5.266004426345496e-07,1.0244097011123079e-07
3671.6500347222245,3.4034089336907227e-07,8.833307195726855e-08
3678.6500347222245,2.6149055734237564e-07,1.0615193087165452e-07
3685.6500347222245,2.13793500790114e-07,7.252573813979514e-08
3692.6500347222245,1.2459004229856855e-07,6.317404594707573e-08
3699.6500347222245,1.5752540539683246e-07,5.9213101078483656e-08
3706.6500347222245,2.3828508748238539e-07,8.401390544504797e-08
3713.6500347222245,5.896156913002997e-08,4.498345865422822e-08
3720.6500347222245,2.140090972502618e-08,3.820191334819786e-08
3727.6500347222245,4.058676771818498e-07,8.16935821020739e-08
3734.6500347222245,4.650622013785513e-07,9.525179674433133e-08
3741.6500347222245,2.8499935143234854e-07,7.252014431007095e-08
3748.6500347222245,3.075176078907263e-07,8.05505662941694e-08
3755.6500347222245,2.4216488710719407e-07,8.593981938548845e-08
3762.6500347222245,1.6654815452820722e-07,5.467001895463023e-08
3769.6500347222245,3.32891747622031e-07,9.126697595973258e-08
